tmdb_id,tmdb_fetch_status,tmdb_title,tmdb_release_date,tmdb_original_language,tmdb_popularity,tmdb_budget,tmdb_revenue,tmdb_status,tmdb_vote_average,tmdb_vote_count,tmdb_primary_company,tmdb_primary_country
10684,ok,Courage Under Fire,1996-07-04,en,3.0386,46000000,100900000,Released,6.544,1038,Davis Entertainment,United States of America
954,ok,Mission: Impossible,1996-05-22,en,11.397,80000000,457696391,Released,7.024,9929,Paramount Pictures,United States of America
8840,ok,DragonHeart,1996-05-31,en,3.4895,57000000,115267375,Released,6.55,2136,Universal Pictures,United States of America
10539,ok,James and the Giant Peach,1996-04-12,en,3.4211,38000000,28946127,Released,6.591,1423,Allied Filmmakers,United States of America
3065,ok,Mystery Science Theater 3000: The Movie,1996-04-19,en,0.9486,5000000,1007306,Released,6.533,228,Gramercy Pictures,United States of America
2300,ok,Space Jam,1996-11-15,en,6.9118,80000000,250200000,Released,6.808,6384,Warner Bros. Family Entertainment,United States of America
10990,ok,Mulholland Falls,1996-04-26,en,2.8554,29000000,11500000,Released,6.008,324,Metro-Goldwyn-Mayer,United States of America
8866,ok,The Truth About Cats & Dogs,1996-04-26,en,1.8859,0,3407,Released,6.082,343,Noon Attack Pictures,United States of America
9304,ok,Multiplicity,1996-07-19,en,3.0549,45000000,21075014,Released,5.822,598,Columbia Pictures,United States of America
503475,ok,Wallace & Gromit: The Best of Aardman Animation,1996-06-14,en,0.4084,0,0,Released,7.6,5,Northern Arts Entertainment,United Kingdom
9100,ok,The Craft,1996-05-03,en,7.1354,15000000,24800000,Released,6.773,2035,Columbia Pictures,United States of America
9802,ok,The Rock,1996-06-07,en,8.8915,75000000,335062621,Released,7.143,5165,Don Simpson/Jerry Bruckheimer Films,United States of America
664,ok,Twister,1996-05-10,en,7.6881,92000000,494471524,Released,6.6,3823,Warner Bros. Pictures,United States of America
11867,ok,Barb Wire,1996-05-02,en,3.4154,9000000,3793614,Released,4.132,484,PolyGram Filmed Entertainment,United States of America
9323,ok,Ghost in the Shell,1995-11-18,ja,8.2417,3000000,10000000,Released,7.922,3852,Bandai Visual,Japan
10535,ok,Spy Hard,1996-05-24,en,3.7355,18000000,26960191,Released,5.4,759,Hollywood Pictures,United States of America
532,ok,A Close Shave,1996-03-07,en,2.0689,0,4638,Released,7.58,924,Aardman,United Kingdom
10547,ok,The Arrival,1996-05-31,en,3.3464,25000000,14063331,Released,6.028,826,Live Entertainment,Mexico
935,ok,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,en,5.5063,1800000,9500000,Released,8.122,6121,Hawk Films,United Kingdom
9879,ok,Striptease,1996-06-28,en,4.9245,50000000,113309743,Released,5.549,1171,Castle Rock Entertainment,United States of America
627,ok,Trainspotting,1996-02-23,en,7.9647,4000000,71981823,Released,7.959,10352,Figment Films,United Kingdom
602,ok,Independence Day,1996-06-25,en,10.596,75000000,817400891,Released,6.904,10354,20th Century Fox,United States of America
